+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|    |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|  0 |            10868.9  |                      10 |           9.94079 |             101.945   | res50        |                      2 |                      1 |        1317.96   |           6.92142    |
|  1 |            10724.8  |                       6 |           5.98106 |              96.4103  | res50        |                      2 |                      1 |          97.3731 |           5.15433    |
|  2 |            15821.2  |                       1 |           1       |              60.828   | res50        |                      3 |                      1 |          31.0792 |           3.9002     |
|  3 |           199554    |                      10 |           9.9404  |               4.03465 | res50        |                      1 |                      0 |        2546.5    |           0.00610729 |
|  4 |            10396.9  |                       8 |           7.96373 |             100.526   | res50        |                      1 |                      1 |         250.05   |           4.53713    |
|  5 |           173226    |                       2 |           1.99867 |               4.62568 | res50        |                      3 |                      0 |         450.797  |           0.0133377  |
|  6 |           152333    |                       8 |           7.96296 |               5.29578 | res50        |                      2 |                      0 |        1557.38   |           0.214659   |
|  7 |           155320    |                       6 |           5.98008 |               5.18653 | res50        |                      2 |                      0 |        1197.48   |           0.152424   |
|  8 |            11068.2  |                       4 |           3.99213 |              92.5956  | res50        |                      3 |                      1 |          61.6015 |           2.89372    |
|  9 |            15700.3  |                       1 |           1       |              60.9143  | res50        |                      2 |                      1 |          22.637  |           3.5455     |
| 10 |           201761    |                       6 |           5.98008 |               3.9896  | res50        |                      1 |                      0 |        1542.92   |           0.113312   |
| 11 |            10720.9  |                       6 |           5.98106 |              96.3888  | res50        |                      1 |                      1 |          84.0838 |           3.93987    |
| 12 |           206067    |                       4 |           3.99202 |               3.89044 | res50        |                      1 |                      0 |        1049.16   |           0.00928259 |
| 13 |            12041.7  |                       2 |           1.99872 |              84.4702  | res50        |                      1 |                      1 |          34.0232 |           4.55838    |
| 14 |            10984.4  |                       4 |           3.99221 |              94.5451  | res50        |                      1 |                      1 |          62.2455 |           3.61857    |
| 15 |             9951.82 |                      10 |           9.94079 |             105.487   | res50        |                      1 |                      1 |        1097.48   |           1.61827    |
| 16 |            12342.1  |                       2 |           1.99874 |              81.5777  | res50        |                      3 |                      1 |          44.1645 |           5.05957    |
| 17 |           201129    |                       1 |           1       |               3.97619 | res50        |                      3 |                      0 |         258.097  |           0.00958472 |
| 18 |           161497    |                       4 |           3.99204 |               4.97101 | res50        |                      2 |                      0 |         831.946  |           0.00915974 |
| 19 |           159139    |                       4 |           3.99202 |               5.04754 | res50        |                      3 |                      0 |         823.527  |           0.0143805  |
| 20 |           220525    |                       1 |           1       |               3.62265 | res50        |                      1 |                      0 |         282.226  |           0.0125771  |
| 21 |            10462    |                       8 |           7.96373 |              99.999   | res50        |                      3 |                      1 |         241.648  |           5.34915    |
| 22 |           147010    |                       8 |           7.96296 |               5.49574 | res50        |                      3 |                      0 |        1541.61   |           0.232952   |
| 23 |            10393.4  |                       8 |           7.96373 |             100.811   | res50        |                      2 |                      1 |         238.96   |           4.58703    |
| 24 |            12423.3  |                       2 |           1.99868 |              82.5341  | res50        |                      2 |                      1 |          48.9142 |           6.56113    |
| 25 |           206764    |                       1 |           1       |               3.86668 | res50        |                      2 |                      0 |         264.458  |           0.0132696  |
| 26 |            11428.3  |                       4 |           3.99244 |              93.8454  | res50        |                      2 |                      1 |          63.3772 |           4.94879    |
| 27 |           144721    |                      10 |           9.9404  |               5.58263 | res50        |                      3 |                      0 |        1918.61   |           0.0111854  |
| 28 |            15766.8  |                       1 |           1       |              60.4445  | res50        |                      1 |                      1 |          20.9835 |           2.24412    |
| 29 |           149631    |                       6 |           5.98008 |               5.39166 | res50        |                      3 |                      0 |        1187.59   |           0.155403   |
| 30 |           178185    |                       2 |           1.99867 |               4.49759 | res50        |                      2 |                      0 |         456.72   |           0.0161269  |
| 31 |           201125    |                       8 |           7.96296 |               4.00497 | res50        |                      1 |                      0 |        2048.29   |           0.15984    |
| 32 |            10776.3  |                       6 |           5.98084 |              96.1726  | res50        |                      3 |                      1 |          91.03   |           4.15377    |
| 33 |           213727    |                       2 |           1.99867 |               3.74413 | res50        |                      1 |                      0 |         546.316  |           0.0117579  |
| 34 |            10096.4  |                      10 |           9.94118 |             103.391   | res50        |                      3 |                      1 |        1044.76   |           4.34544    |
| 35 |           149465    |                      10 |           9.9404  |               5.39229 | res50        |                      2 |                      0 |        1921.32   |           0.00875036 |
+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
