+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
|    |   client_latency_ms |   configured_batch_size |   mean_batch_size |   mean_throughput_qps | model_name   |   num_cpus_per_replica |   num_gpus_per_replica |   p99_latency_ms |   std_throughput_qps |
|----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------|
|  0 |            572104   |                       1 |           1       |               1.39672 | res152       |                      1 |                      0 |         731.791  |           0.00348357 |
|  1 |            542258   |                       2 |           1.99867 |               1.47503 | res152       |                      1 |                      0 |        1374.55   |           0.00294258 |
|  2 |            507547   |                       4 |           3.99202 |               1.57956 | res152       |                      1 |                      0 |        2559.88   |           0.00197434 |
|  3 |            498759   |                       6 |           5.98008 |               1.61375 | res152       |                      1 |                      0 |        3786.95   |           0.0475461  |
|  4 |            493068   |                       8 |           7.96296 |               1.63302 | res152       |                      1 |                      0 |        4969.31   |           0.0654794  |
|  5 |            487088   |                      10 |           9.9404  |               1.6522  | res152       |                      1 |                      0 |        6184.32   |           0.00236736 |
|  6 |             29927.7 |                       1 |           1       |              29.3819  | res152       |                      1 |                      1 |          40.4135 |           0.624446   |
|  7 |             19602.1 |                       2 |           1.99868 |              47.0512  | res152       |                      1 |                      1 |          57.4701 |           0.986155   |
|  8 |             17781.4 |                       4 |           3.99206 |              54.9836  | res152       |                      1 |                      1 |         107.729  |           1.58301    |
|  9 |             16637.2 |                       6 |           5.98054 |              56.6775  | res152       |                      1 |                      1 |         157.041  |           1.70152    |
| 10 |             15783.5 |                       8 |           7.96335 |              60.1849  | res152       |                      1 |                      1 |         360.578  |           2.4877     |
| 11 |             15082.3 |                      10 |           9.94194 |              63.6758  | res152       |                      1 |                      1 |        1107.04   |           0.472196   |
| 12 |            538999   |                       1 |           1       |               1.48463 | res152       |                      2 |                      0 |         686.746  |           0.00403228 |
| 13 |            455016   |                       2 |           1.99867 |               1.75921 | res152       |                      2 |                      0 |        1160.48   |           0.00393189 |
| 14 |            408847   |                       4 |           3.99202 |               1.96235 | res152       |                      2 |                      0 |        2086.79   |           0.00223509 |
| 15 |            393707   |                       6 |           5.98008 |               2.0448  | res152       |                      2 |                      0 |        3003.45   |           0.0592225  |
| 16 |            386096   |                       8 |           7.96296 |               2.08715 | res152       |                      2 |                      0 |        3933.94   |           0.0835254  |
| 17 |            381201   |                      10 |           9.9404  |               2.11326 | res152       |                      2 |                      0 |        4836.47   |           0.00135702 |
| 18 |             30837   |                       1 |           1       |              28.3924  | res152       |                      2 |                      1 |          41.1341 |           0.59435    |
| 19 |             19842.6 |                       2 |           1.99868 |              46.4114  | res152       |                      2 |                      1 |          57.2725 |           1.04353    |
| 20 |             17020.8 |                       4 |           3.99206 |              55.3356  | res152       |                      2 |                      1 |          99.8816 |           1.11929    |
| 21 |             16597.4 |                       6 |           5.98077 |              56.6802  | res152       |                      2 |                      1 |         149.824  |           1.69494    |
| 22 |             15782.3 |                       8 |           7.96335 |              60.3226  | res152       |                      2 |                      1 |         360.561  |           2.36388    |
| 23 |             15046   |                      10 |           9.94231 |              63.8206  | res152       |                      2 |                      1 |        1081.8    |           0.704362   |
| 24 |            520693   |                       1 |           1       |               1.53641 | res152       |                      3 |                      0 |         667.696  |           0.00337269 |
| 25 |            439806   |                       2 |           1.99867 |               1.82081 | res152       |                      3 |                      0 |        1122.19   |           0.00309027 |
| 26 |            401798   |                       4 |           3.99202 |               1.997   | res152       |                      3 |                      0 |        2066.41   |           0.00247654 |
| 27 |            381846   |                       6 |           5.98008 |               2.11016 | res152       |                      3 |                      0 |        2965.25   |           0.0616017  |
| 28 |            375038   |                       8 |           7.96296 |               2.14965 | res152       |                      3 |                      0 |        3904.41   |           0.0864931  |
| 29 |            372341   |                      10 |           9.9404  |               2.16476 | res152       |                      3 |                      0 |        4798.02   |           0.00138741 |
| 30 |             31799.2 |                       1 |           1       |              28.0564  | res152       |                      3 |                      1 |          52.843  |           0.560416   |
| 31 |             19870   |                       2 |           1.9987  |              46.2344  | res152       |                      3 |                      1 |          56.8066 |           0.987617   |
| 32 |             17283   |                       4 |           3.99202 |              54.9824  | res152       |                      3 |                      1 |         118.599  |           2.37526    |
| 33 |             16835.4 |                       6 |           5.98054 |              56.6755  | res152       |                      3 |                      1 |         170.743  |           1.80382    |
| 34 |             15738   |                       8 |           7.96373 |              60.3037  | res152       |                      3 |                      1 |         314.785  |           2.31856    |
| 35 |             15136.2 |                      10 |           9.94194 |              63.4064  | res152       |                      3 |                      1 |        1090.48   |           1.85123    |
+----+---------------------+-------------------------+-------------------+-----------------------+--------------+------------------------+------------------------+------------------+----------------------+
