,client_latency_ms,configured_batch_size,mean_batch_size,mean_throughput_qps,model_name,num_cpus_per_replica,num_gpus_per_replica,p99_latency_ms,std_throughput_qps
0,2.775802110552764,1,1,192.84993435088566,lgbm,1,0,1.6860299999999997,0.8019438578844265
1,2.803638190954774,4,1.000244140625,192.69615175773637,lgbm,1,0,1.702,0.8045064925098905
2,2.9054472361809043,1,1,192.560497670589,lgbm,2,0,1.9081599999999561,0.7303267050946843
3,2.84359959798995,4,1.00048828125,192.44599481267673,lgbm,2,0,1.7702699999999978,0.66163349477924
4,2.8584749748743725,1,1,192.5751624269208,lgbm,3,0,2.49003,0.6652603808908474
5,2.8669571859296483,4,1.00048828125,192.49816335456447,lgbm,3,0,1.9140599999999994,0.8274319182222972
6,2.8923474371859292,1,1,192.61452810661348,lgbm,4,0,2.6380599999999994,0.7137919835326202
7,2.8937096482412055,4,1,192.5744640621984,lgbm,4,0,2.7263899999999968,1.032138942701149
8,3.4050271356783917,1,1,192.63542101671393,lgbm,5,0,6.793,1.5778604989334752
9,3.2349566834170846,4,1.00732421875,192.6471079480421,lgbm,5,0,6.787089999999999,1.6693936111913739
10,2.791926231155779,16,1,192.2916521755811,lgbm,1,0,1.658,0.7274387058400449
11,2.8070751758793975,32,1,192.0710444047348,lgbm,1,0,1.6520299999999997,0.8217054245432829
12,2.7980068341708537,64,1,192.20496359292687,lgbm,1,0,1.6570599999999995,0.7564342387539736
13,2.787109246231156,128,1,192.50280793900436,lgbm,1,0,1.651,0.8318825277211561
14,2.774539396984925,16,1,192.17293592285833,lgbm,2,0,1.704,0.736587123211391
15,2.796962110552764,32,1,192.2563006180366,lgbm,2,0,1.704,0.7391466687058136
16,2.7878237185929655,64,1,192.20694843812794,lgbm,2,0,1.7040299999999997,0.8194903931582636
17,2.785239195979899,128,1,192.2988370787957,lgbm,2,0,1.6980299999999997,0.7853791320095668
18,2.8141972864321607,16,1,192.21214446360494,lgbm,3,0,1.7260599999999995,0.7875515303024185
19,2.820410351758794,32,1,192.19361656015124,lgbm,3,0,1.728,0.6537351183021286
20,2.8174991959798996,64,1,192.25186592825918,lgbm,3,0,1.7290899999999991,0.7012849921904835
21,2.8095031155778893,128,1,192.28009161668854,lgbm,3,0,1.7260299999999997,0.7242923969460119
22,2.8409209045226125,16,1,192.33399639541543,lgbm,4,0,1.7370299999999999,0.6588624121075906
23,2.8342894472361806,32,1,192.37328863640292,lgbm,4,0,1.739,0.7156771878006899
24,2.8374880402010056,64,1,192.28688030971114,lgbm,4,0,1.735,0.7086663858582902
25,2.8368709547738695,128,1,192.27892493588752,lgbm,4,0,1.7340299999999997,0.6478381407865194
26,3.1155069346733666,16,1.00390625,192.33216150512067,lgbm,5,0,6.73,1.9114168955616107
27,3.11030120603015,32,1.00390625,192.36007991559987,lgbm,5,0,6.73703,1.7905534545244504
28,3.1965795979899494,64,1.008544921875,192.36402216070772,lgbm,5,0,6.765089999999999,2.2872093679223426
29,3.0773930653266324,128,1.003173828125,192.39015636978397,lgbm,5,0,6.7221199999999985,1.3687830495512785
30,2.78935567839196,2,1,192.4018147981683,lgbm,1,0,1.666,0.8784213607609561
31,2.815473768844221,8,1,192.15632472984888,lgbm,1,0,1.671,0.7367593926511565
32,2.794991155778895,2,1,192.0407906317402,lgbm,2,0,1.706,0.8009488994434427
33,2.787780301507538,8,1,192.22214124946927,lgbm,2,0,1.704,0.7184970244143787
34,2.8262984924623114,2,1,192.20006444581844,lgbm,3,0,1.729,0.7334759289626216
35,2.8249790954773872,8,1,192.10873779749733,lgbm,3,0,1.7300299999999997,0.6665123548665641
36,2.8500983919597993,2,1,192.13801308440912,lgbm,4,0,1.745,0.6308896899056062
37,2.85574864321608,8,1,192.22649928159058,lgbm,4,0,1.744,0.6668721664731615
38,3.2905014070351757,2,1.00927734375,192.25712951587255,lgbm,5,0,6.781,1.9504542583356637
39,7905.646817889447,1,1,605.5222069953967,lgbm,1,0,1.776,102.10268560808527
40,3635.3556289447233,2,1.999755859375,1201.8848489968263,lgbm,1,0,1.8240299999999998,229.1911460414762
41,918.3391933668341,4,3.99840063974410235581,2216.543963785309,lgbm,1,0,2.04798,196.33311677370045
42,667.686720603015,8,4.88042947779404596639,2844.9420375085874,lgbm,1,0,2.0475,866.7091874682565
43,691.9279737688441,16,5.47945205479452052176,3579.6138711526673,lgbm,1,0,2.27448,2577.88690193853
44,582.059428442211,32,5.2994170641229464587,3214.4955551888884,lgbm,1,0,2.65324,1448.9231005870495
45,709.2281730653266,64,5.55555555555555560798,3828.862876482295,lgbm,1,0,2.26996,3170.7379272208937
46,7898.742817286432,1,1,604.7066143660113,lgbm,2,0,1.8100899999999993,111.32167305038003
47,3541.321162613066,2,1.99951171875,1192.96851339323,lgbm,2,0,1.9490899999999993,189.97732502060205
48,892.2477146733668,4,3.98247710075667059391,2200.421914990366,lgbm,2,0,2.10176,187.63978961935837
49,728.5163001005025,8,5.29661016949152543224,3555.969600068375,lgbm,2,0,2.1848799999999993,3154.2843727449826
50,737.4188980904521,16,5.18403317781233798816,3462.083249441089,lgbm,2,0,2.2020000000000004,2581.6688509435853
